step,loss,grad_norm,learning_rate,epoch,eval_loss,eval_accuracy,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
100,0.7212886047363282,8.181549072265625,1.939486552567237e-05,0.061124694376528114,,,,,,,,,,,
200,0.5217649078369141,11.358527183532715,1.878361858190709e-05,0.12224938875305623,0.40638136863708496,0.8642616936716601,0.8326215638629401,43.0143,76.045,4.766,,,,,
300,0.44475196838378905,16.531970977783203,1.817237163814181e-05,0.18337408312958436,,,,,,,,,,,
400,0.39222518920898436,11.680196762084961,1.756112469437653e-05,0.24449877750611246,0.3660174012184143,0.8838275756649343,0.8484240410759419,42.6315,76.727,4.809,,,,,
500,0.41275753021240236,3.491105556488037,1.694987775061125e-05,0.3056234718826406,,,,,,,,,,,
600,0.36114738464355467,21.11507797241211,1.633863080684597e-05,0.36674816625916873,0.5401479005813599,0.8627331091409355,0.7971615197638484,42.6872,76.627,4.802,,,,,
700,0.4038182067871094,12.413718223571777,1.5727383863080686e-05,0.4278728606356968,,,,,,,,,,,
800,0.38934432983398437,8.061314582824707,1.5116136919315404e-05,0.4889975550122249,0.3380773663520813,0.8660959951085295,0.8405503222052254,42.5213,76.926,4.821,,,,,
900,0.36089393615722654,20.631237030029297,1.4504889975550123e-05,0.5501222493887531,,,,,,,,,,,
1000,0.35260833740234376,6.068175315856934,1.3893643031784843e-05,0.6112469437652812,0.31009384989738464,0.8758789361051666,0.8565860265473505,42.5095,76.948,4.822,,,,,
1100,0.40239452362060546,18.9002628326416,1.328239608801956e-05,0.6723716381418093,,,,,,,,,,,
1200,0.38917762756347657,9.459086418151855,1.267114914425428e-05,0.7334963325183375,0.3371818959712982,0.891776215224702,0.8604057354026091,42.4992,76.966,4.824,,,,,
1300,0.35971092224121093,3.9292778968811035,1.2059902200488997e-05,0.7946210268948656,,,,,,,,,,,
1400,0.3358758926391602,12.831591606140137,1.1448655256723717e-05,0.8557457212713936,0.3100331723690033,0.8865790278202385,0.8655736531099988,42.53,76.91,4.82,,,,,
1500,0.35610557556152345,5.316127777099609,1.0837408312958436e-05,0.9168704156479217,,,,,,,,,,,
1600,0.32029903411865235,10.842694282531738,1.0226161369193154e-05,0.9779951100244498,0.2914202809333801,0.88168755732192,0.8638541950278086,42.4745,77.011,4.826,,,,,
1700,0.2755199241638184,3.7942237854003906,9.614914425427873e-06,1.039119804400978,,,,,,,,,,,
1800,0.28967876434326173,9.399624824523926,9.003667481662593e-06,1.1002444987775062,0.32506275177001953,0.8978905533476002,0.8736083269253534,42.5421,76.888,4.819,,,,,
1900,0.23736663818359374,6.265102863311768,8.392420537897312e-06,1.1613691931540342,,,,,,,,,,,
2000,0.2669147300720215,2.306002378463745,7.78117359413203e-06,1.2224938875305624,0.30769482254981995,0.8893304799755426,0.8699521710012276,42.4208,77.108,4.833,,,,,
2100,0.26012430191040037,5.282156944274902,7.169926650366749e-06,1.2836185819070904,,,,,,,,,,,
2200,0.2562635040283203,7.235304355621338,6.558679706601467e-06,1.3447432762836184,0.33044689893722534,0.8957505350045858,0.8737153976442507,42.6277,76.734,4.809,,,,,
2300,0.2338300895690918,14.775810241699219,5.947432762836186e-06,1.4058679706601467,,,,,,,,,,,
2400,0.2900526809692383,34.402679443359375,5.3361858190709044e-06,1.466992665036675,0.3537309169769287,0.8951391011922959,0.8653530024826082,42.5555,76.864,4.817,,,,,
2500,0.2646045684814453,1.5123517513275146,4.724938875305624e-06,1.528117359413203,,,,,,,,,,,
2600,0.30201919555664064,4.424642562866211,4.113691931540343e-06,1.589242053789731,0.31246358156204224,0.8969734026291654,0.8732939701234255,42.6107,76.765,4.811,,,,,
2700,0.2413494110107422,8.708605766296387,3.5024449877750618e-06,1.6503667481662592,,,,,,,,,,,
2800,0.25515260696411135,2.2685306072235107,2.8911980440097803e-06,1.7114914425427874,0.3239250183105469,0.8994191378783247,0.8757493524434872,42.4996,76.965,4.824,,,,,
2900,0.2331428337097168,15.598733901977539,2.279951100244499e-06,1.7726161369193154,,,,,,,,,,,
3000,0.24558809280395508,10.448704719543457,1.6687041564792178e-06,1.8337408312958434,0.32685592770576477,0.8997248547844696,0.8759258358506877,42.5062,76.953,4.823,,,,,
3100,0.26852025985717776,3.8834402561187744,1.0574572127139366e-06,1.8948655256723717,,,,,,,,,,,
3200,0.23835771560668945,4.601078987121582,4.462102689486553e-07,1.9559902200488999,0.318822979927063,0.8985019871598899,0.8754876531649116,44.1843,74.031,4.64,,,,,
3272,,,,2.0,,,,,,,3349.1909,15.628,0.977,6885678141941760.0,0.33232514199534374
